Flood	MinorityPop	FireReport	CrimeRate	HouseAge	Income	Declination
2	54	34.1	68	52.6	82.31	0.3
2	4.9	11	75	42.6	214.8	0.02
1	7.1	6.9	18	78.5	111.04	0.02
3	5.3	7.3	31	90.1	106.94	0.4
1	21.5	15.1	25	89.8	96.31	1.1
1	43.1	29.1	34	82.7	79.95	1.9
1	1.1	2.2	14	40.2	137.22	0.02
3	1	5.7	11	27.9	162.5	0.02
2	1.7	2	11	7.7	136.86	0.02
1	1.6	2.5	22	63.8	124.05	0.02
2	1.5	3	17	51.2	121.98	0.02
3	1.8	5.4	27	85.1	116	0.02
3	1	2.2	9	44.4	127.65	0.02
3	2.5	7.2	29	84.2	110.84	0.2
2	13.4	15.1	30	89.8	105.1	0.8
1	59.8	16.5	40	72.7	97.84	0.8
1	94.4	18.4	32	72.9	73.42	1.8
3	86.2	36.2	41	63.1	65.65	1.8
1	50.2	39.7	147	83	74.59	0.9
3	74.2	18.5	22	78.3	80.14	1.9
1	55.5	23.3	29	79	81.77	1.5
2	62.3	12.2	46	48	82.12	0.6
2	10	6.2	29	60.4	117.44	0.02
3	22.2	9.5	44	76.5	93.23	0.1
2	19.6	10.5	36	73.5	99.48	1.2
3	17.3	7.7	37	66.9	106.56	0.5
2	24.5	8.6	53	81.4	97.3	0.7
3	4.4	5.6	23	71.5	112.3	0.3
1	46.2	21.8	4	73.1	83.3	1.3
1	99.7	21.6	31	65	55.83	0.9
1	73.5	9	39	75.4	85.64	0.4
3	10.7	3.6	15	20.8	121.02	0.02
2	1.5	5	32	61.8	118.76	0.02
1	48.8	28.6	27	78.1	97.42	1.4
1	98.9	17.4	32	68.6	75.2	2.2
1	90.6	11.3	34	73.4	73.88	0.8
2	1.4	3.4	17	2	238.42	0.02
2	71.2	11.9	46	57	110.4	0.9
2	94.1	10.5	42	55.9	103.32	0.9
3	66.1	10.7	43	67.5	109.08	0.4
1	36.4	10.8	34	58	111.56	0.9
2	1	4.8	19	15.2	133.23	0.02
3	42.5	10.4	25	40.8	129.6	0.5
3	35.1	15.6	28	57.8	112.6	1
3	47.4	7	3	11.4	100.8	0.2
2	34	7.1	23	49.2	114.28	0.3
1	3.1	4.9	27	46.6	137.31	0.02
2	23.7	1.5	18	22	270.2	0.07
3	48.2	3.6	29.3	62.6	85.2	0.75
1	18	7.3	31.2	18.2	73.5	1.2
